check_num,p_index,p,p_raw,lrb_lambda,rb_p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high,lambda
3,3,0.0025,0.0005,0.0025,0.0025,0.9999795592002044,0.9999863728001364,1.3627199863641692e-05,0.0,0.9962685644514617,0.5533712106973971,9,5.103116583333221e-07,1.3028119869695765e-05,1.405270985943563e-05,0.9971859679281404,0.9981239786187602,0.0018760213812397675,0.0,1.0000000007363585,0.07613014816103914,9,0.0015245233552020744,0.0007828465937715156,0.003994834651785016,0.0025
3,4,0.005,0.001,0.005,0.005,0.9999168723144313,0.9999445815429541,5.54184570459304e-05,0.0,0.9924773583760033,3.0681037339828037,9,1.0666791381169024e-06,5.4467279455239215e-05,5.6473715976945726e-05,0.9943650488263496,0.996243365884233,0.003756634115766988,0.0,0.9999999996862204,0.15173289466139842,9,0.0015693028834688736,0.003339468406605306,0.006554001454459999,0.005
3,5,0.01,0.002,0.01,0.01,0.9996379878983702,0.9997586585989134,0.00024134140108655888,0.0,0.9847412075606211,5.673612396686902,9,2.9868690558464373e-06,0.0002383956255159747,0.0002443371050565579,0.9887242281127577,0.9924828187418385,0.007517181258161476,0.0,1.0000000001343021,0.16115886361862947,9,0.0013297356417776034,0.00747453272525469,0.010205703097942966,0.01
3,6,0.025,0.005,0.025,0.025,0.997104793628952,0.9980698624193014,0.0019301375806985988,0.0,0.9606880722583823,14.842342180521241,9,2.2189841286779218e-05,0.0019120034283466624,0.0019537927252621045,0.9721072642789274,0.9814048428526183,0.01859515714738169,0.0,0.9999999970627368,0.08246516504061516,9,0.0012870598394538707,0.01851297773487018,0.021198904108010855,0.025
3,7,0.0375,0.0075,0.0375,0.0375,0.992230402317696,0.9948202682117974,0.005179731788202635,0.0,0.9394386551823283,18.49416139524709,7,6.317900206102896e-05,0.005113075109535976,0.005238734462812728,0.9584810704151893,0.9723207136101261,0.027679286389873936,0.0,0.9999999975954177,0.08203844155751312,9,0.0013042538629631872,0.027378199086217983,0.029734878315984523,0.0375
3,8,0.05,0.01,0.05,0.05,0.9818563201814368,0.9879042134542911,0.012095786545708864,0.0,0.9170279149461618,19.536533620929593,6,0.00015821656305817865,0.011934047880659548,0.012254214437457863,0.944909900550901,0.963273267033934,0.03672673296606599,0.0,0.9999999984641825,0.020527919457243894,9,0.0012701954172697524,0.03598509340014912,0.03850534958827994,0.05
3,9,0.0625,0.0125,0.0625,0.0625,0.9653468823465311,0.9768979215643542,0.023102078435645823,0.0,0.8937531679400396,14.856160405786186,5,0.0002903089073214937,0.02280083945199158,0.023358700566413,0.9314986846850132,0.9543324564566754,0.045667543543324585,0.0,0.9999999996386602,0.08243627639471239,9,0.0012061227568973191,0.04535749074642515,0.0477720516822796,0.0625
3,10,0.075,0.015,0.075,0.075,0.9331672686683272,0.9554448457788848,0.04455515422111522,0.0,0.8692170980391797,13.245570354914815,5,0.0006084419040080636,0.043962235507044325,0.045128662482046666,0.9185660328143397,0.9457106885428931,0.054289311457106915,0.0,0.9999999996313111,0.03493862815281297,9,0.0012595917296890247,0.05350041290499596,0.05605101170615654,0.075
3,11,0.1,0.02,0.1,0.1,0.8295976017040239,0.8863984011360159,0.11360159886398413,0.0,0.817043354959556,6.913536689849808,4,0.0017039407770984942,0.11202419087975815,0.11541382284586184,0.8931912010680879,0.9287941340453919,0.0712058659546081,0.0,0.9999999995891279,0.07181257318799888,9,0.0012011985217666784,0.07084772195818945,0.07321392993452737,0.1
3,12,0.15,0.03,0.15,0.15,0.4799352052006479,0.6532901368004319,0.3467098631995681,0.0,0.7023439904687211,6.1049283155162986,4,0.00456502663784671,0.3423134045768659,0.3510668124893319,0.844708801552912,0.8964725343686079,0.10352746563139215,0.0,0.9999999995411423,0.13772101756178265,9,0.0012923881797450825,0.10372055362946125,0.10629047360376195,0.15
3,13,0.2,0.04,0.2,0.2,0.23785920762140794,0.49190613841427194,0.508093861585728,0.0,0.5790997863839579,3.9334270950776093,3,0.005475927747624128,0.5029954723033787,0.5134358135323085,0.801483201985168,0.867655467990112,0.13234453200988805,0.0,0.9999999994789539,0.8839571538680595,9,0.0014388556661589402,0.13615120930515456,0.13891553994417793,0.2
3,14,0.25,0.05,0.25,0.25,0.16098960839010393,0.44065973892673593,0.5593402610732641,0.0,0.45761209092995403,3.3076048612126634,3,0.005375244600625265,0.5540116851265499,0.5648674930179917,0.761177602388224,0.8407850682588159,0.15921493174118406,0.0,0.9999999997442425,4.352818761045253,9,0.001570909608903045,0.16875016364583176,0.17182282494843842,0.25
4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1.2218598148011172e-08,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,0.261035429046315,6.66598555283837e-06,0.6666665916666674,0.0
4,1,0.0005,0.0001,0.0005,0.0005,0.9999986297500137,0.9999990865000091,9.134999908733121e-07,0.0,0.9992616214004347,0.2529018621695136,9,1.9166019549955722e-07,7.069999928832615e-07,1.082666655882747e-06,0.9994354671846454,0.9996236447897635,0.00037635521023648977,0.0,0.9999999999934934,0.14174297536775526,9,0.002234184342542976,0.00039890136349898683,0.005365370711146356,0.0005
4,2,0.001,0.0002,0.001,0.001,0.9999960282400397,0.9999973521600265,2.647839973501931e-06,0.0,0.9985097534390686,0.11553980967704049,9,2.877933405088028e-07,2.3577299764765414e-06,2.9406299706380423e-06,0.9988885212913149,0.99925901419421,0.0007409858057899621,0.0,0.9999999997189982,0.1120663133186339,9,0.0018750850332666684,0.000346756703652411,0.004416409093435889,0.001
4,3,0.0025,0.0005,0.0025,0.0025,0.9999739499417293,0.9999826332944862,1.736670551377717e-05,0.0,0.9962685450155087,1.1266761939540566,9,4.847781769744106e-07,1.6886323893516852e-05,1.7832205261636425e-05,0.9971859679281404,0.9981239786187602,0.0018760213812397675,0.0,1.0000000007363585,0.07613014816103914,9,0.0015245233552020744,0.0007828465937715156,0.003994834651785016,0.0025
4,4,0.005,0.001,0.005,0.005,0.9998874415611255,0.9999249610407505,7.50389592495404e-05,0.0,0.9924876740319928,2.6877045219374645,9,1.1284457781000449e-06,7.392010146078931e-05,7.612773923870719e-05,0.9943650488263496,0.996243365884233,0.003756634115766988,0.0,0.9999999996862204,0.15173289466139842,9,0.0015693028834688736,0.003339468406605306,0.006554001454459999,0.005
4,5,0.01,0.002,0.01,0.01,0.9994997429137525,0.999666495275835,0.00033350472416504573,0.0,0.9847965765819945,3.732996504461231,9,2.9680049353065713e-06,0.0003307030213729822,0.00033640525463596305,0.9887242281127577,0.9924828187418385,0.007517181258161476,0.0,1.0000000001343021,0.16115886361862947,9,0.0013297356417776034,0.00747453272525469,0.010205703097942966,0.01
