check_num,p_index,p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
14,14,0.1,0.522370404776296,0.6815802698508641,0.31841973014913594,0.0,0.8623062486404663,67.76697668960324,9,0.0012283741653007281,0.3171993354946733,0.3197183328028166,0.8864952011350479,0.9243301340900318,0.07566986590996816,0.003773766071956545,0.8843505067761465,0.34930388950390945,9,0.0003255574047361155,0.0753830392461696,0.07601623390650442
14,15,0.143844989,0.30655200693448,0.53770133795632,0.46229866204368,0.0,0.7427066650471921,22.758583373311964,9,0.0034204990349804665,0.45894506207721597,0.4659273126740602,0.837702401622976,0.8918016010819839,0.10819839891801608,0.0016650546573062793,0.8363592972661232,0.10704103399511919,9,0.00039259681453526724,0.10778357225549767,0.1085644362476891
14,16,0.206913808,0.13875200861248,0.42583467240832,0.57416532759168,0.0,0.5125519050315539,23.8305547172805,9,0.004028917456377734,0.5702005489646611,0.5781428422185716,0.7637480023625199,0.8424986682416801,0.15750133175831993,0.005418447710806801,0.7619795520556051,0.5130207034331624,9,0.0005427543501606727,0.1569391130972755,0.15801115575322175
14,17,0.335981829,0.255133607448664,0.503422404965776,0.49657759503422405,0.0,0.1267984512755597,30.32319510766567,9,0.008533856427265913,0.488332624450007,0.5049087522842458,0.611085603889144,0.7407237359260961,0.2592762640739039,0.007303776324532655,0.6157061228135998,1.017482627441564,9,0.0009063634742376312,0.258347560083191,0.2601345680653209
15,0,3.35981829e-05,1.0,1.0,0.0,0.0,0.999976254177348,0.16833880541204366,9,1.533185187855831e-08,0.0,3.333333298272123e-08,0.9999980995066783,0.9999987330044521,1.2669955479216455e-06,-18.586177585542423,19.586149385851005,0.27111432550036135,9,0.005942087695779165,1.0576537283490948e-06,0.009274614307253893
15,1,0.000615848211,0.999992707468823,0.9999951383125486,4.861687451396257e-06,0.0,0.9995914341571145,1.4684459612024943,9,1.5343304398719847e-07,4.731539952729236e-06,5.030641616499132e-06,0.9986839895831601,0.9991226597221067,0.0008773402778933237,0.4673654419907468,0.5319274734283584,0.08724967919634789,9,0.00162549291654577,6.212259702209622e-07,0.0030860642354060986
15,2,0.0112883789,0.9964659014553411,0.9976439343035608,0.0023560656964392024,0.0,0.9922950178442363,577.9199713498615,9,9.672317198857141e-06,0.0023462649365373345,0.002365443513945511,0.9872794001272059,0.991519600084804,0.008480399915196002,0.002082702516943801,0.9851306653025819,0.24001176453737236,9,0.0006966536021935337,0.007803798695295341,0.009129080335375886
15,3,0.0206130785,0.9836825441631745,0.989121696108783,0.010878303891217023,0.0,0.9846208289640056,1621.4044289373594,9,3.8765861755156857e-05,0.010840042184933,0.010916515890834866,0.9769192962308071,0.9846128641538714,0.015387135846128608,-0.005415467616652132,0.9822509547154727,0.08152918416327191,9,0.00044905165972842923,0.014977666516890031,0.01589440581438925
15,4,0.0233572147,0.9746751042532489,0.9831167361688326,0.01688326383116745,0.0,0.9816553382540394,2305.8359601752422,9,4.647600812398191e-05,0.01683808383161922,0.016930840044024918,0.9731171482688284,0.9820780988458857,0.017921901154114295,0.017746171937722825,0.9563505949923083,0.2735388617546707,9,0.000387600198167051,0.017504874171618046,0.018345937416540586
15,5,0.0311537409,0.9378801286211987,0.9585867524141326,0.041413247585867397,0.0,0.9740954171575529,2833.9648723400232,9,7.868536928631505e-05,0.04133196246668033,0.04148891670511093,0.964580300354197,0.9763868669027979,0.023613133097202144,0.007386546530864522,0.9574337985391419,0.15772414982181557,9,0.000370068468084461,0.023250844567491543,0.023972382480276208
