timestamp_utc,backend,phase,event,probability_index,probability,batch_index,batch_shots,shots_remaining_before,shots_remaining_after,clifford_index,depth_index,depth,shots,circuit_dimension,circuit_qudits,circuit_operations,simulator_seconds,dem_compile_seconds,dem_sample_seconds,dem_cache_hit,dem_total_noise_locations,dem_active_noise_locations,dem_detectors,dem_logicals,unpack_seconds,record_seconds,process_seconds,load_seconds,write_seconds,total_seconds,notes
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,4,10,10000,3,1,242,0.046225139,0.013167794,0.033038901,0,120,120,0,1,,,0.000184995,,,0.046423139,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,5,14,10000,3,1,334,0.068486526,0.021125649,0.047335942,0,166,166,0,1,,,0.000182019,,,0.068682201,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,6,18,10000,3,1,426,0.086699340,0.024787428,0.061886614,0,212,212,0,1,,,0.000191587,,,0.086908500,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,7,20,10000,3,1,498,0.100319678,0.031583136,0.068696298,0,248,248,0,1,,,0.000186357,,,0.100535521,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,8,22,10000,3,1,542,0.115108705,0.037429481,0.077649879,0,270,270,0,1,,,0.000179404,,,0.115306434,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,8,0,0,10000,3,1,2,0.000417118,0.000368177,0.000018455,0,0,0,0,1,,,0.000129341,,,0.000556308,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,8,1,2,10000,3,1,54,0.009852549,0.002980339,0.006853795,0,26,26,0,1,,,0.000166261,,,0.010028577,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,8,2,4,10000,3,1,98,0.019752176,0.005433046,0.014301769,0,48,48,0,1,,,0.000184684,,,0.019945858,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,8,3,6,10000,3,1,126,0.024722538,0.006948873,0.017756433,0,62,62,0,1,,,0.000182230,,,0.024914475,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:28Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,8,4,10,10000,3,1,222,0.041222928,0.010784107,0.030420417,0,110,110,0,1,,,0.000187790,,,0.041422621,simulated_shots=10001;reference_shot_dropped=1
